   tabletype   |                   table                    | rowcount  | totalmemory | averagerowsize 
 Transactional | kpi.tr_monthly_closing_balance_aggr        |   1231381 | 184 MB      | 156 bytes
 Transactional | kpi.tr_monthly_cross_data_aggr             |       448 | 112 kB      | 256 bytes
 Transactional | kpi.tr_monthly_cross_reload_aggr           |       560 | 112 kB      | 204 bytes
 Transactional | kpi.tr_monthly_custom_metrics_aggr         |    254742 | 59 MB       | 242 bytes
 Transactional | kpi.tr_monthly_daily_sso_aggr              |    774845 | 141 MB      | 191 bytes
 Transactional | kpi.tr_monthly_entity_ranking_aggr         |     61482 | 15 MB       | 261 bytes
 Transactional | kpi.tr_monthly_entity_summary_aggr         |         0 | 0 bytes     | 0 bytes
 Transactional | kpi.tr_monthly_event_attribute_aggr        |         0 | 0 bytes     | 0 bytes
 Transactional | kpi.tr_monthly_event_crossell_aggr         |         0 | 0 bytes     | 0 bytes
 Transactional | kpi.tr_monthly_event_metrics_aggr          |   8340420 | 3408 MB     | 428 bytes
 Transactional | kpi.tr_monthly_event_territory_aggr        |       934 | 31 MB       | 34 kB
 Transactional | kpi.tr_monthly_hierarchy_summary_aggr      |    102533 | 62 MB       | 632 bytes
 Transactional | kpi.tr_monthly_indosat_transfer_aggr       |   1123926 | 138 MB      | 128 bytes
 Transactional | kpi.tr_monthly_inventory_expiry_ledger     |         9 | 3080 kB     | 342 kB
 Transactional | kpi.tr_monthly_inventory_ledger            |   3102291 | 1307 MB     | 441 bytes
 Transactional | kpi.tr_monthly_low_revenue_site_aggr       |      7046 | 1104 kB     | 160 bytes
 Transactional | kpi.tr_monthly_mobo_crosselling_aggr       |         0 | 0 bytes     | 0 bytes
 Transactional | kpi.tr_monthly_mobo_revenue_aggr           |     90032 | 21 MB       | 249 bytes
 Transactional | kpi.tr_monthly_mobo_transaction_aggr       |   3268713 | 541 MB      | 173 bytes
 Transactional | kpi.tr_monthly_net_add_subs_aggr           |         8 | 8192 bytes  | 1024 bytes
 Transactional | kpi.tr_monthly_org_transfer_aggr           |   2493762 | 371 MB      | 155 bytes
 Transactional | kpi.tr_monthly_outlet_program_aggr         |    239397 | 40 MB       | 173 bytes
 Transactional | kpi.tr_monthly_package_act_buyer_aggr      |        30 | 8192 bytes  | 273 bytes
 Transactional | kpi.tr_monthly_package_act_seller_aggr     |        12 | 8192 bytes  | 682 bytes
 Transactional | kpi.tr_monthly_primary_mobo_aggr           |       459 | 176 kB      | 392 bytes
 Transactional | kpi.tr_monthly_quality_acquisition_aggr    |         0 | 0 bytes     | 0 bytes
 Transactional | kpi.tr_monthly_reload_buyer_aggr           |       113 | 16 kB       | 144 bytes
 Transactional | kpi.tr_monthly_reload_customer_aggr        |         0 | 0 bytes     | 0 bytes
 Transactional | kpi.tr_monthly_reload_seller_aggr          |        28 | 8192 bytes  | 292 bytes
 Transactional | kpi.tr_monthly_reload_sellinout_aggr       |         0 | 0 bytes     | 0 bytes
 Transactional | kpi.tr_monthly_rguga_injection_aggr        |   2906437 | 613 MB      | 220 bytes
 Transactional | kpi.tr_monthly_sale_revenue_lacci_aggr     |        81 | 16 kB       | 202 bytes
 Transactional | kpi.tr_monthly_sale_revenue_org_aggr       |         0 | 0 bytes     | 0 bytes
 Transactional | kpi.tr_monthly_secondary_mobo_aggr         |    694389 | 148 MB      | 223 bytes
 Transactional | kpi.tr_monthly_sellout_activation_aggr     |     57154 | 15 MB       | 280 bytes
 Transactional | kpi.tr_monthly_serial_activation_aggr      |  22229984 | 4967 MB     | 234 bytes
 Transactional | kpi.tr_monthly_serial_deactivation_aggr    |  20397265 | 3646 MB     | 187 bytes
 Transactional | kpi.tr_monthly_serial_injection_aggr       |   5498676 | 682 MB      | 130 bytes
 Transactional | kpi.tr_monthly_serial_rguga_aggr           |  29488429 | 3601 MB     | 128 bytes
 Transactional | kpi.tr_monthly_site_rguga_aggr             |     57141 | 12 MB       | 213 bytes
 Transactional | kpi.tr_monthly_sp_tagging_aggr             |    406064 | 76 MB       | 195 bytes
 Transactional | kpi.tr_monthly_stock_expiry_ledger         |         0 | 0 bytes     | 0 bytes
 Transactional | kpi.tr_monthly_stock_ledger                |         0 | 0 bytes     | 0 bytes
 Transactional | kpi.tr_monthly_subscriber_event_aggr       |         0 | 0 bytes     | 0 bytes
 Transactional | kpi.tr_monthly_target_metrics_aggr         |         0 | 0 bytes     | 0 bytes
 Transactional | kpi.tr_monthly_target_summary_aggr         |         0 | 0 bytes     | 0 bytes
 Transactional | kpi.tr_monthly_tertiary_sales_aggr         |    822521 | 171 MB      | 217 bytes
 Transactional | kpi.tr_monthly_total_revenue_aggr          |    540192 | 131 MB      | 254 bytes
 Transactional | kpi.tr_monthly_upload_metrics_aggr         |         0 | 0 bytes     | 0 bytes
 Transactional | kpi.tr_monthly_uro_20k_aggr                |    854794 | 186 MB      | 227 bytes
 Transactional | kpi.tr_monthly_usage_customer_aggr         |         0 | 0 bytes     | 0 bytes
 Transactional | kpi.tr_monthly_usage_metrics_aggr          |       734 | 112 kB      | 156 bytes
 Transactional | kpi.tr_monthly_voucher_redemption_aggr     |   4781830 | 3616 MB     | 792 bytes
 Transactional | kpi.tr_msisdn_product_mapping              |         0 | 0 bytes     | 0 bytes
 Transactional | kpi.tr_temp_alloc_payment_aggr             |         0 | 0 bytes     | 0 bytes
 Transactional | kpi.tr_temp_aquisition_revenue_aggr        |         0 | 0 bytes     | 0 bytes
 Transactional | kpi.tr_temp_closing_balance_aggr           |    697000 | 116 MB      | 174 bytes
 Transactional | kpi.tr_temp_cross_data_aggr                |         0 | 0 bytes     | 0 bytes
 Transactional | kpi.tr_temp_cross_reload_aggr              |         0 | 0 bytes     | 0 bytes
 Transactional | kpi.tr_temp_daily_sso_aggr                 |   1344511 | 282 MB      | 219 bytes
 Transactional | kpi.tr_temp_hadoop_failure_aggr            |  11938418 | 2740 MB     | 240 bytes
 Transactional | kpi.tr_temp_indosat_to_org_validation      |   2089569 | 120 MB      | 60 bytes
 Transactional | kpi.tr_template_exception_summary          |         7 | 8192 bytes  | 1170 bytes
 Transactional | kpi.tr_template_instance_summary           |        33 | 8192 bytes  | 248 bytes
 Transactional | kpi.tr_template_instance_summary_dtls      |        33 | 8192 bytes  | 248 bytes
 Transactional | kpi.tr_temp_low_revenue_site_aggr          |         0 | 0 bytes     | 0 bytes
 Transactional | kpi.tr_temp_mobo_revenue_aggr              |         0 | 0 bytes     | 0 bytes
 Transactional | kpi.tr_temp_org_to_org_validation          |  16805007 | 965 MB      | 60 bytes
 Transactional | kpi.tr_temp_outlet_program_aggr            |         0 | 0 bytes     | 0 bytes
 Transactional | kpi.tr_temp_primary_mobo_aggr              |         0 | 0 bytes     | 0 bytes
 Transactional | kpi.tr_temp_rguga_injection_aggr           |   1324511 | 320 MB      | 253 bytes
 Transactional | kpi.tr_temp_secondary_mobo_aggr            |         0 | 0 bytes     | 0 bytes
 Transactional | kpi.tr_temp_site_rguga_aggr                |         0 | 0 bytes     | 0 bytes
 Transactional | kpi.tr_temp_sp_tagging_aggr                |         0 | 0 bytes     | 0 bytes
 Transactional | kpi.tr_temp_tertiary_sales_aggr            |   1358000 | 276 MB      | 213 bytes
 Transactional | kpi.tr_temp_total_revenue_aggr             |    694000 | 147 MB      | 221 bytes
 Transactional | kpi.tr_temp_trans_sum_validation           |  11467172 | 1753 MB     | 160 bytes
 Transactional | kpi.tr_temp_upload_aggr_failure            |  72379995 | 24 GB       | 354 bytes
 Transactional | kpi.tr_temp_upload_metrics_aggr            |         0 | 0 bytes     | 0 bytes
 Transactional | kpi.tr_temp_upload_metrics_direct_aggr     |         0 | 0 bytes     | 0 bytes
 Transactional | kpi.tr_temp_upload_metrics_orgbal_aggr     |         0 | 0 bytes     | 0 bytes
 Transactional | kpi.tr_temp_upload_metrics_revenue_aggr    |         0 | 0 bytes     | 0 bytes
 Transactional | kpi.tr_temp_upload_metrics_trans_aggr      |  40908665 | 17 GB       | 451 bytes
 Transactional | kpi.tr_temp_uro_20k_aggr                   |   1248000 | 270 MB      | 226 bytes
 Transactional | kpi.tr_validate_alloc_payment_aggr         |       448 | 40 kB       | 91 bytes
 Transactional | kpi.tr_validate_aquisition_revenue_aggr    |  17025056 | 1209 MB     | 74 bytes
 Transactional | kpi.tr_validate_closing_balance_aggr       |  30455863 | 1842 MB     | 63 bytes
 Transactional | kpi.tr_validate_cross_data_aggr            |     39311 | 2640 kB     | 68 bytes
 Transactional | kpi.tr_validate_cross_reload_aggr          |     41160 | 3240 kB     | 80 bytes
 Transactional | kpi.tr_validate_daily_sso_aggr             |  29328759 | 2302 MB     | 82 bytes
 Transactional | kpi.tr_validate_low_revenue_site_aggr      |    590091 | 46 MB       | 81 bytes
 Transactional | kpi.tr_validate_mobo_revenue_aggr          |  11848000 | 844 MB      | 74 bytes
 Transactional | kpi.tr_validate_outlet_program_aggr        |    459684 | 33 MB       | 74 bytes
 Transactional | kpi.tr_validate_primary_mobo_aggr          |     49107 | 2896 kB     | 60 bytes
 Transactional | kpi.tr_validate_rguga_injection_aggr       |  69798230 | 7505 MB     | 112 bytes
 Transactional | kpi.tr_validate_secondary_mobo_aggr        |  16033392 | 1043 MB     | 68 bytes
 Transactional | kpi.tr_validate_site_rguga_aggr            |   5376518 | 380 MB      | 74 bytes
 Transactional | kpi.tr_validate_sp_tagging_aggr            |   3386962 | 195 MB      | 60 bytes
 Transactional | kpi.tr_validate_tertiary_sales_aggr        |  51803990 | 4063 MB     | 82 bytes
 Transactional | kpi.tr_validate_total_revenue_aggr         |  74814123 | 5852 MB     | 82 bytes
 Transactional | kpi.tr_validate_uro_20k_aggr               | 128733890 | 10102 MB    | 82 bytes
 
