select * from interface.ms_interface_attr  where name_v = 'Remote User' order by 1;

 attribute_id_n | interface_id_n |   name_v    | value_v  |     last_updated_time_dt
        1089003 |           1089 | Remote User | readuser | 2018-09-18 16:24:57.912454+07
        1090003 |           1090 | Remote User | readuser | 2018-08-24 10:29:03.869861+07
        1092003 |           1092 | Remote User | readuser | 2018-08-24 10:29:03.966117+07
        1094003 |           1094 | Remote User | readuser | 2018-09-19 14:37:12.379447+07
        1095003 |           1095 | Remote User | readuser | 2018-09-19 14:37:12.414004+07
        1096003 |           1096 | Remote User | readuser | 2018-09-19 14:37:12.462638+07
        1097003 |           1097 | Remote User | readuser | 2018-09-19 14:37:12.500118+07
        1098003 |           1098 | Remote User | readuser | 2018-09-19 14:37:12.551261+07
        1099003 |           1099 | Remote User | readuser | 2018-09-19 14:37:12.587087+07
        1100003 |           1100 | Remote User | readuser | 2018-09-19 14:37:12.621951+07
        1103003 |           1103 | Remote User | readuser | 2018-09-19 14:37:12.658895+07
        1104003 |           1104 | Remote User | readuser | 2018-09-19 14:37:12.70737+07
        1105003 |           1105 | Remote User | readuser | 2018-09-19 14:37:12.738958+07
        1106003 |           1106 | Remote User | readuser | 2018-09-19 14:37:12.771294+07
        1107003 |           1107 | Remote User | readuser | 2018-09-19 14:37:12.799413+07
        1108003 |           1108 | Remote User | readuser | 2018-09-19 14:37:12.824621+07
        1109003 |           1109 | Remote User | readuser | 2018-09-19 14:37:12.866524+07
        1110003 |           1110 | Remote User | readuser | 2018-09-19 14:37:12.89367+07
        1111003 |           1111 | Remote User | readuser | 2018-09-19 14:37:12.920743+07
        1112003 |           1112 | Remote User | readuser | 2018-09-19 14:37:12.953344+07
        1113003 |           1113 | Remote User | readuser | 2018-09-19 14:37:12.985951+07
        1114003 |           1114 | Remote User | readuser | 2018-09-19 14:37:13.013263+07
        1115003 |           1115 | Remote User | readuser | 2018-09-19 14:37:13.042942+07
        1116003 |           1116 | Remote User | readuser | 2018-09-19 14:37:13.07129+07
        1117003 |           1117 | Remote User | readuser | 2018-09-19 14:37:13.097857+07
        1118003 |           1118 | Remote User | readuser | 2018-09-19 14:37:13.147118+07
        1119003 |           1119 | Remote User | readuser | 2018-09-19 14:37:13.183988+07
        1120003 |           1120 | Remote User | readuser | 2018-09-19 14:37:13.220787+07
        1121003 |           1121 | Remote User | readuser | 2018-09-19 14:37:13.255623+07
        1122003 |           1122 | Remote User | readuser | 2018-09-19 14:37:13.304496+07
        1123003 |           1123 | Remote User | readuser | 2018-10-03 16:59:29.130484+07
        1124003 |           1124 | Remote User | readuser | 2018-10-03 16:59:29.144517+07
        1125003 |           1125 | Remote User | readuser | 2018-10-03 16:59:29.159322+07
        1126003 |           1126 | Remote User | readuser | 2018-10-03 16:59:29.171927+07
        1127003 |           1127 | Remote User | readuser | 2018-10-03 16:59:29.186489+07
        1128003 |           1128 | Remote User | readuser | 2018-10-03 16:59:29.200541+07
        1129003 |           1129 | Remote User | readuser | 2018-10-03 16:59:29.214987+07
        1130003 |           1130 | Remote User | readuser | 2018-10-03 16:59:29.229601+07
        1131003 |           1131 | Remote User | readuser | 2018-10-03 16:59:29.244579+07
        1132003 |           1132 | Remote User | readuser | 2018-10-03 16:59:29.256464+07
        1133003 |           1133 | Remote User | readuser | 2018-10-03 16:59:29.272051+07
        1134003 |           1134 | Remote User | readuser | 2018-10-12 21:11:38.292864+07
        1135003 |           1135 | Remote User | readuser | 2019-05-13 11:39:30.318397+07
        1138003 |           1138 | Remote User | readuser | 2019-07-24 17:32:52.741284+07
        1143003 |           1143 | Remote User | readuser | 2019-07-24 17:32:52.771527+07
        1145003 |           1145 | Remote User | appuser  | 2019-08-10 00:39:58.758475+07
        1146003 |           1146 | Remote User | appuser  | 2019-08-16 22:36:02.029259+07
        1148003 |           1148 | Remote User | appuser  | 2019-08-16 22:36:02.084686+07
        1156003 |           1156 | Remote User | readuser | 2019-12-27 22:12:27.185302+07
        1157003 |           1157 | Remote User | readuser | 2020-01-02 12:52:51.504777+07
        1158003 |           1158 | Remote User | readuser | 2019-12-27 22:12:27.198305+07
        1159003 |           1159 | Remote User | readuser | 2020-01-07 21:26:53.584517+07
        1161003 |           1161 | Remote User | readuser | 2020-01-24 11:23:49.573119+07
        1162003 |           1162 | Remote User | readuser | 2020-03-23 11:24:11.103728+07
